tribe,init_loc,sim_time
Yoruba,Anthro,4:00 PM
Bemba,Great Hall,4:00 PM
Kanuri,History 3,4:00 PM
Zarma,Library,4:00 PM
Igbo,Geography,4:30 PM
,,
Mursi,Econ 1,4:30 PM
Balete,Maths (Rob),4:30 PM
Amandbele x maShona,Maths(Matt & Sian),4:30 PM
,,
Ewe,Language 2 (downstairs),5:00 PM
,,
Yu di Kòrsou,Language 11 (upstairs),5:00 PM
,,
,,
Dagaaba,LUF,5:00 PM
Kikuyu,Glopo (Sylvi),5:00 PM
,,
Nkore,Glopo (Nick),5:30 PM
,,
Djolof,Econ 2,5:30 PM
Samburu,Language 1 (downstairs),5:30 PM
